District,Mandal,GP_Name,GP_Code,total_activities,total_estimated_cost,total_sc_fund,total_st_fund,water_activities,livelihood_activities,total_estimated_cost_lakhs,sc_st_fund_share_pct,drought_risk_score,drought_flag,total_rain_mm,predicted_rainfall_mm,drought_probability,drought_probability_pct,predicted_drought_flag,risk_norm,water_gap_norm,fund_gap_norm,rain_stress_norm,livelihood_need_norm,inclusion_need_norm,priority_score,priority_tier,priority_rank
Medak,Narsingi,Bheemraopally,278919,35,698385.0,0.0,0.0,1,0,6.98,0.0,73.71,1.0,0.0,0.44,0.241,24.1,NO_DROUGHT,0.7371,0.9848484848484849,0.9853710375429049,0.8283261802575107,1.0,1.0,67.96,HIGH,1
Yadadri Bhuvanagiri,Alair,Sharbanapuram,207105,15,368861.0,0.0,0.0,1,0,3.69,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9922735257474222,0.9227467811158798,1.0,1.0,67.78,HIGH,2
Sangareddy,Jharasangam,Kappad,278889,17,1144188.0,0.0,0.0,1,0,11.44,0.0,74.41,1.0,0.0,0.27,0.2093,20.9,NO_DROUGHT,0.7441,0.9848484848484849,0.9760328711300232,0.9012875536480687,1.0,1.0,67.76,HIGH,3
Yadadri Bhuvanagiri,Alair,Kandigadda Thanda,280999,35,722307.0,0.0,0.0,1,0,7.22,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9848699471129864,0.9227467811158798,1.0,1.0,67.71,HIGH,4
Sangareddy,Jharasangam,Guntamarpally,243399,17,1710938.0,0.0,0.0,1,0,17.11,0.0,74.41,1.0,0.0,0.27,0.2093,20.9,NO_DROUGHT,0.7441,0.9848484848484849,0.9641612466355701,0.9012875536480687,1.0,1.0,67.64,HIGH,5
Sangareddy,Jharasangam,Vanampalle,206323,18,2073435.0,0.0,0.0,1,0,20.73,0.0,74.41,1.0,0.0,0.27,0.2093,20.9,NO_DROUGHT,0.7441,0.9848484848484849,0.9565680781055907,0.9012875536480687,1.0,1.0,67.56,HIGH,6
Sangareddy,Jharasangam,Gangapur,278883,17,993260.0,0.0,0.0,2,0,9.93,0.0,74.41,1.0,0.0,0.27,0.2093,20.9,NO_DROUGHT,0.7441,0.9696969696969697,0.9791943365763378,0.9012875536480687,1.0,1.0,67.56,HIGH,7
Yadadri Bhuvanagiri,Alair,Mandanpally,207099,21,1450077.0,0.0,0.0,1,0,14.5,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9696254616108635,0.9227467811158798,1.0,1.0,67.55,HIGH,8
Sangareddy,Jharasangam,Krishnapur,206316,17,2250550.0,0.0,0.0,1,0,22.51,0.0,74.41,1.0,0.0,0.27,0.2093,20.9,NO_DROUGHT,0.7441,0.9848484848484849,0.9528580776250701,0.9012875536480687,1.0,1.0,67.52,HIGH,9
Yadadri Bhuvanagiri,Alair,Raghavapur,207103,21,1667220.0,0.0,0.0,1,0,16.67,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9650770008122768,0.9227467811158798,1.0,1.0,67.51,HIGH,10
Yadadri Bhuvanagiri,Alair,Manthapuri,207100,21,1646675.0,0.0,0.0,1,0,16.47,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9655073537460898,0.9227467811158798,1.0,1.0,67.51,HIGH,11
Medak,Narsingi,Narsampalle,206136,48,1852222.0,0.0,0.0,2,0,18.52,0.0,73.71,1.0,0.0,0.44,0.241,24.1,NO_DROUGHT,0.7371,0.9696969696969697,0.9612017925639789,0.8283261802575107,1.0,1.0,67.49,HIGH,12
Yadadri Bhuvanagiri,Alair,Patelgudem,207102,21,1842321.0,0.0,0.0,1,0,18.42,0.0,71.75,1.0,0.0,0.22,0.2473,24.7,NO_DROUGHT,0.7175,0.9848484848484849,0.9614091872779085,0.9227467811158798,1.0,1.0,67.47,HIGH,13
Medak,Narsingi,Sankhapur,206914,41,2496860.0,0.0,0.0,2,0,24.97,0.0,73.71,1.0,0.0,0.44,0.241,24.1,NO_DROUGHT,0.7371,0.9696969696969697,0.9476986601937005,0.8283261802575107,1.0,1.0,67.36,HIGH,14
